disposition,period,duration,depth,radius,equilibrium_t,insolation,stellar_temp,stellar_radius,stellar_logg,midpoint,ra,dec,magnitude,distance,label
PC,2.94308,4.073,4490.0,45.3525,1976.0,2533.34,4437.0,3.13,4.33418,2459037.655526,310.086743,-63.789963,10.5598,320.212,1
FP,341.2811281,6.303026,972.5797241,4.7531892,846.173434,121.1597998,6058.6,1.39203,4.2,2459367.034327,279.721286,-85.709137,7.5622,70.0154,0
PC,10.8680523,2.375,1553.0,2.90726,594.0,20.7383,4664.0,0.76,4.55,2460086.979446,146.053969,-89.471513,10.2809,79.5225,1
PC,11.1149,2.26,900.0,14.7645,603.0,21.9713,5042.0,4.94,4.33418,2458630.71937,253.110033,-79.135182,10.0717,523.425,1
CP,4.0782392,4.8475616,6046.6959687,13.898174,1617.8267296,1619.0081232,6501.0,1.74836,4.08,2459336.073646,155.607863,-82.218869,10.0068,281.314,2
FP,7.14386,1.467,11146.4,22.1531,1175.80398775,355.909,7860.0,1.91,4.15,2458655.54872,274.221618,-68.197779,9.941,417.08,0
FP,7.04083,2.979,1580.0,8.46404,1505.0,852.336,5317.0,0.91,4.49,2459083.35168,30.198486,-77.610376,9.7906,102.238,0
KP,2.1061569,1.4688934,12142.2238514,13.086872,1308.0417533,691.8428073,5380.0,0.940697,4.4337,2458326.105486,0.774487,-62.469317,13.183,508.842,2
FP,2.4545635,2.321,4248.0,11.1276,1899.0,2162.73,6610.0,1.64,4.15,2460146.990136,286.791829,-58.697242,9.6789,243.838,0
FP,11.4756978,0.808,8341.0,14.1098,512.0,11.4585,7262.0,2.13,4.0,2460131.889805,291.373783,-60.941042,9.3871,312.461,0
FP,2.78186,2.456,490.0,4.92567,1680.0,1323.21,6819.0,2.21,3.92,2458626.54168,163.628917,-87.269735,9.5162,292.085,0
FP,6.4410082,1.798,7076.0,4.59203,471.0,8.2114,3469.0,0.53,4.71,2460140.221205,328.710839,-77.337433,9.66865,23.8853,0
PC,5.0100708,2.0644756,409.4812214,2.3107394,971.6657708,210.6631712,5551.0,0.906282,4.46214,2458325.661906,27.699972,-75.848774,9.5268,94.4178,1
PC,2.2281625,2.015,630.0,2.56778,1434.0,702.927,5731.0,1.02,4.43,2459386.963814,273.602061,-66.419974,10.4055,167.598,1
FP,4.13812,3.911,5560.0,10.504179950000001,1386.0,613.964,4898.4,1.23,4.33418,2458660.16316,277.432937,-44.625506,10.5084,370.553,0
KP,2.4997996,2.865171,14621.2059647,13.8516093,1399.9894384,907.8624196,5650.0,1.13732,4.28867,2460069.773646,55.933639,-65.19378,11.6035,302.448,2
FP,1.66226,3.321,6030.0,13.3343,2561.0,7149.89,7301.0,1.64,4.23,2458656.45082,293.389272,-45.892667,10.4063,386.323,0
FP,4.07611,2.062,1454.18,10.504179950000001,1175.80398775,355.909,5788.7,1.23,4.33418,2458658.61052,269.648642,-46.065523,11.0605,338.644,0
FP,3.6245513,3.042,1299.0,4.3503,1175.80398775,919.571,6317.0,1.38,4.33418,2460115.852574,281.369481,-52.262928,10.2934,249.826,0
PC,0.7724825,1.3744974,211.3168519,4.1624907,3996.2877922,60276.5000547,8271.0,2.5027299,3.95,2459036.495091,298.287708,-46.369991,8.0465,237.593,1
FP,1.6268695,3.231,1502.0,2.36498,1850.0,1946.23,5034.0,0.73,4.64,2460122.432108,279.062469,-43.620606,10.3579,97.8115,0
FP,2.32439,4.453,2704.18,10.504179950000001,4502.0,68217.5,8268.5,1.23,3.93,2458657.63073,292.195297,-36.00026,7.3163,177.741,0
FP,13.5499,1.795,1180.0,6.24633,660.0,31.6652,6209.0,1.63,4.09,2458663.15245,289.761799,-43.074223,9.7298,222.529,0
FP,4.43651,3.365,1520.0,19.9664,2653.0,8233.41,7101.9,2.32,3.91,2458659.06927,284.157959,-29.398357,8.7823,247.414,0
KP,3.372877,2.63426,17163.60419,14.201803,1270.187448,615.165921,6050.0,1.02,4.45061,2458327.053085,332.714337,-30.749719,12.1893,448.637,2
CP,8.34998,1.836,16680.0,11.1424,588.0,19.9348,4236.0,0.74,4.52,2460144.137122,286.376004,-41.43764,10.1429,58.2609,2
CP,4.0686405,1.8373729,2650.0950013,3.7548333,772.378302,84.108766,4236.0,0.741921,4.52,2460126.924264,286.376004,-41.43764,10.1429,58.2609,2
PC,0.5860366,0.8098934,410.5241553,4.906408,3263.6721812,26813.1057089,5579.0,2.39803,3.67,2458711.595435,248.433545,61.718334,9.2872,222.74,1
FP,1.5502952,2.938,411.0,3.34528,2839.0,10796.6,7851.0,1.86,4.17,2460351.800169,298.781281,54.781445,9.2293,286.668,0
FP,1.80709,3.297,450.0,4.86242,2569.0,7233.01,6244.0,2.2,3.84,2458684.2349,294.824079,31.958037,9.11458,233.369,0
FP,18.6922101,7.765,11126.0,18.1458,1141.0,282.175,6277.0,1.65,4.09,2460333.437983,290.02096,36.637774,9.03609,170.732,0
CP,8.0277326,4.284,5705.0,9.06883,1106.0,248.619,5962.7,1.15,4.38,2460658.97426,193.39637,85.129495,9.02855,114.048,2
CP,12.5187279,5.38,2320.0,5.58857,1393.0,626.362,5729.0,0.98,4.47,2459612.447691,192.184898,64.855276,8.9361,84.5362,2
CP,6.2586065,3.201,813.0,2.51593,1087.0,232.392,5729.0,0.98,4.47,2460366.026514,192.184898,64.855276,8.9361,84.5362,2
CP,26.3208756,4.414,800.0,2.71349,631.0,26.4328,5729.0,0.98,4.47,2459594.183463,192.184898,64.855276,8.9361,84.5362,2
CP,18.795547,4.3425576,470.6731965,2.1597669,672.9826313,48.477077,5729.0,0.977727,4.47,2458697.755807,192.184898,64.855276,8.9361,84.5362,2
PC,1.3206356,1.6000996,1052.4255997,34.7561624,1982.7142102,3652.2582486,4919.6,6.3070302,4.33418,2459770.240602,301.17768,30.409951,9.00558,419.435,1
FP,0.64971,2.076,620.0,6.23181,4731.0,83182.0,9994.0,2.59,4.02,2458684.20504,291.463084,25.189437,8.90601,395.12,0
PC,4.4780798,4.513,1054.0,11.3678,3715.0,31621.7,7947.0,1.83,4.2,2460549.445856,304.034336,31.925687,8.86193,238.726,1
KP,3.2887898,3.4367717,7005.7247902,10.5135877,1338.8392647,759.3373533,5800.0,1.24175,4.28004,2458327.519958,63.374706,-69.226593,10.6103,216.526,2
FP,13.7431084,2.285,5688.0,12.05,844.0,84.3234,5941.5,1.34,4.33418,2460637.861679,264.961539,56.078974,8.88797,121.182,0
FP,16.9487087,4.2887767,156467.5479643,45.2204505,758.5937679,78.263287,5894.7,1.1179,4.37,2460289.874408,247.534722,80.307766,8.8523,97.3391,0
FP,3.3686634,3.012,3288.0,42.2321,2775.0,9856.24,7518.0,2.68,3.82,2460335.937572,290.708965,56.615386,8.64028,299.294,0
FP,11.2071839,4.366,3276.0,17.4989,1487.0,813.063,6152.0,2.24,3.84,2460352.734057,182.538652,77.352264,8.63287,191.984,0
KP,4.8878037,2.184,4279.0,5.29152,810.0,71.6805,4757.3,0.76,4.56,2460554.347022,297.710176,48.081864,8.5077,37.7647,2
FP,2.97164,1.534,7350.0,10.504179950000001,2076.0,3089.18,8562.5,1.23,4.33418,2458685.81643,291.92142,36.529898,8.5011,438.395,0
FP,0.660179,1.6349369,473.0939303,6.1672487,5717.1532477,252487.7638842,8598.7,2.62432,4.1,2459420.415267,292.286802,30.297329,8.40386,411.307,0
FP,10.9278415,2.468,2743.0,49.1695,1129.0,270.142,6259.0,2.92,3.59,2460331.315598,266.962207,83.428826,8.36544,218.258,0
KP,5.5514888,4.335,9493.0,15.8043,1482.0,802.858,6403.9,1.55,4.16,2460361.366521,161.909027,71.655727,7.9179,96.5173,2
KP,4.7423709,2.4988145,12650.8110411,10.5505922,970.6340996,209.7699043,5377.0,0.877585,4.42476,2458329.903155,6.70264,-56.316102,13.0417,453.808,2
KP,1.4810903,4.1588291,6788.5145388,20.3402421,3446.0210572,33326.7304874,9435.0,2.28773,4.11,2458683.457596,307.8599,39.938916,7.58204,204.455,2
KP,3.4741012,3.317,15748.0,21.2912,2084.3330866,3453.07,8894.8,1.62,4.38,2460337.986375,294.661413,31.2192,7.55216,136.426,2
PC,21.745537,4.196,659.0,2.10208,642.0,28.2504,5704.0,0.93,4.51,2460339.328709,254.924043,64.699214,9.3188,93.8819,1
FP,1.32003,3.175,552.468,10.504179950000001,1175.80398775,355.909,5788.7,1.23,4.33418,2458683.92594,309.275852,32.471019,9.711,370.553,0
FP,1.6865822,2.429,1770.0,10.504179950000001,1175.80398775,355.909,5788.7,1.23,4.33418,2459443.850453,300.419309,26.971662,9.7032,6079.49,0
FP,13.0727479,3.044,4080.0,35.7944,1074.0,221.343,5709.8,3.59,3.37,2459603.765773,144.341393,68.458705,9.6043,432.113,0
FP,2.9258727,4.075,6720.0,24.4055,2066.0,3028.51,4884.5,1.3,4.33418,2459446.175877,293.427359,29.596296,9.5967,370.553,0
FP,0.73774,0.636,524.852,5.28215,1175.80398775,355.909,6449.5,2.1,3.94,2458683.94707,282.42081,48.098942,9.5937,292.83,0
KP,2.7985802,2.3801043,16708.7151957,11.9514993,1089.1458169,332.556249,4920.0,0.906655,4.49371,2458326.688916,357.846434,-70.152862,11.0443,149.942,2
FP,2.3664127,2.591,300.0,10.504179950000001,1175.80398775,355.909,5788.7,1.23,4.33418,2459446.146751,301.317709,30.67067,9.577,2320.13,0
KP,1.7635881,3.092,6650.0,10.504179950000001,2608.0,7685.79,7986.1,1.23,4.33418,2460556.484069,286.971388,46.868246,10.2306,519.096,2
PC,7.3166682,3.255,3210.0,10.504179950000001,1647.0,1221.82,8730.0,1.23,4.33418,2460544.815606,305.289344,41.462366,9.65306,348.481,1
PC,3.0771612,2.6914319,4703.2844346,10.504179950000001,1827.6445751,2636.8654415,9311.3,1.23,4.33418,2459441.801256,294.091757,19.639255,9.47751,148.342,1
FP,3.2077145,2.708,9640.0,10.504179950000001,1175.80398775,355.909,5788.7,1.23,4.33418,2459822.312844,307.336613,37.508561,9.329701,827.868,0
KP,2.2552845,2.05,20820.0,14.688,1348.0,549.715,5787.0,0.96,4.5,2460352.823449,232.146641,66.35871,9.76703,126.261,2
FP,1.8824539,2.46,1391.0,8.29008,3091.0,15173.2,5900.4,1.13,4.39,2460556.103196,293.764981,37.53859,9.7604,153.743,0
